P0x2f0f    Garmin Händler
P0x2f10    Personaldienstleister
P0x2f11    Business Service
P0x2f12    Kommunikationsdienstleister
P0x2f13    Werkstatt
P0x2f14    Sozialstation
P0x2f15    Stadtwerke
P0x2f16    Autohof
P0x2f17    Spedition

P0x3000    Nothilfe
P0x3001    Polizei
P0x3002    Krankenhaus
P0x3003    Rathaus
P0x3004    Gericht
P0x3005    Rettungsleitstelle
P0x3006    Grenzübergang
P0x3007    Behörde
P0x3008    Feuerwehr

P0x4000    Golf
P0x4100    Angelstelle
P0x4200    Wrack
P0x4300    Marina
P0x4400    Autogas
P0x4500    Restaurant
P0x4600    Bar
P0x4700    Bootsverladestelle
P0x4800    Campinkplatz
P0x4900    Park
P0x4a00    Rastplatz
P0x4b00    Erste Hilfe Station
P0x4c00    Information
P0x4d00    Parkplatz
P0x4e00    Toilette
P0x4f00    Dusche

P0x5000    Trinkwasser
P0x5100    Telefon
P0x5200    Aussichtspunkt
P0x5300    Skistation
P0x5400    Badestelle
P0x5500    Staudamm

P0x5600    Bewachter Bereich
P0x5700    Gefährlicher Bereich
P0x5800    Sperrgebiet

P0x5900    Flugplatz
P0x5901    Großer Flugplatz
P0x5902    Mittelgroßer Flugplatz
P0x5903    Kleiner Flugplatz
P0x5904    Hubschrauberlandeplatz
P0x5905    Flugplatz

P0x5a00    Wegweiser
P0x5b00    Glocke
P0x5c00    Taucherbereich
P0x5d00    Seezeichen (grün, rechteckig)
P0x5e00    Seezeichen (rot, dreieckig)
P0x6000    Horn
P0x6100    Gebäude

P0x6200    Tiefenpunkt
P0x6300    Höhenpunkt

P0x6400    Bauwerk
P0x6401    Brücke
P0x6402    Gebäude
P0x6403    Friedhof
P0x6404    Gotteshaus
P0x6405    Rathaus
P0x6406    Kreuzung
P0x6407    Damm
P0x6408    Krankenhaus
P0x6409    Deich
P0x640a    Wegweiser
P0x640b    Truppenübungsplatz
P0x640c    Bergwerk
P0x640d    Oelfeld
P0x640e    Park
P0x640f    Post
P0x6410    Schule
P0x6411    Turm
